,ID,Location,Price Range,City,House Style,Owner,Plot Types,Plot Sizes,Plot Prices,Link to Payment Plan,Webpage
10,243,Malir,PKR35.45 Lakh to 45.45 Lakh,Karachi,Houses,Falaknaz Properties,"Houses(OneUnitVilla-120SQ.YDS)
Houses(SingleStoreyVilla)
","4.8Marla
4.8Marla
","PKR45.45Lakh
PKR35.45Lakh
","https://images.zameen.com/w1600_h900/7/243/falaknaz_dream_villas_3040.jpg
https://images.zameen.com/w1600_h900/7/243/falaknaz_dream_villas_14557.jpg
https://images.zameen.com/w1600_h900/7/243/falaknaz_dream_villas_14558.jpg
",https://www.zameen.com/new-projects/falaknaz_dream_villas-243.html
11,300,Karach,Houses,Karachi,Chapal Group,0,"2BedsHouses(1080Sq.FtSingleStorey)
3BedsHouses(1080Sq.FtDoubleStorey)
3BedsHouses(1440Sq.FtSingleStorey)
4BedsHouses(1440Sq.FtDoubleStorey)
4BedsHouses(1800Sq.FtDoubleStorey)
3BedsHouses(2160Sq.FtSingleStorey)
","4.8Marla
6.4Marla
8Marla
0
0
0
","4.8Marla
6.4Marla
9.6Marla
0
0
0
",,https://www.zameen.com/new-projects/chapal_uptown-300.html
12,1254,Korang,PKR1.5 Crore to 1.5 Crore,Karachi,Houses,Lucknow Developer,"3BedsHouses(House)
","120Sq.Yd
0
","PKR1.5Crore
0
",,https://www.zameen.com/new-projects/lucknow_society_karachi-1254.html
13,1238,Hub River Roa,PKR6.99 Lakh to 6.99 Lakh,Karachi,Houses,Al Manzil Builders &amp; developers,"Houses
","120Sq.Yd
","PKR6.99Lakh
","https://images.zameen.com/w1600_h900/7/1238/areesha_city_16634.jpg
",https://www.zameen.com/new-projects/areesha_city-1238.html
14,370,Karach,PKR7.5 Lakh to 39.5 Lakh,Karachi,"Residential Plots, Commercial Plots, Houses",GFS Builder &amp; Developers,"ResidentialPlots(Plots)
ResidentialPlots(Plots)
ResidentialPlots(Plots)
ResidentialPlots(Plots)
CommercialPlots(Plots)
CommercialPlots(Plots)
2BedsHouses(SingleStoreyBungalow)
4BedsHouses(DoubleStoreyBungalow)
","80Sq.Yd
120Sq.Yd
300Sq.Yd
500Sq.Yd
100Sq.Yd
200Sq.Yd
120Sq.Yd
120Sq.Yd
0
0
","PKR7.5Lakh
PKR12.5Lakh
PKR24.5Lakh
PKR39.5Lakh
PKR19.75Lakh
PKR37.75Lakh
PKR21.25Lakh
PKR31Lakh
0
0
","https://images.zameen.com/w1600_h900/7/370/seven_wonders_city_20507.jpeg
https://images.zameen.com/w1600_h900/7/370/seven_wonders_city_15168.jpg
https://images.zameen.com/w1600_h900/7/370/seven_wonders_city_15169.jpg
",https://www.zameen.com/new-projects/seven_wonders_city-370.html
15,853,Federal B Area - Block 8,"Houses, Flats",Karachi,M S Homes,0,"4BedsHouses(DoubleStorey)
2BedsFlats(Apartment)
2BedsFlats(Apartment)
3BedsFlats(Apartment)
","120Sq.Yd
1,050Sq.Ft.
0
0
0
0
","750Sq.Ft.
1,300Sq.Ft.
0
0
0
0
",,https://www.zameen.com/new-projects/de_comforts-853.html
16,747,Malir Cantonment,Houses,Karachi,Abdul Razzak Associate,0,"Houses(Villas)
Houses(Villas)
Houses(Villas)
","80Sq.Yd
120Sq.Yd
","100Sq.Yd
",,https://www.zameen.com/new-projects/river_valley_phase_2-747.html
17,740,Super Highway,PKR2.5 Lakh to 20  Lakh,Karachi,Houses,Qurtaba Builders &amp; Developers,"Houses(House)
Houses(DoubleStoreyHouse)
Houses(DoubleStoreyHouse)
Houses(DoubleStoreyHouse)
","125Sq.Yd
300Sq.Yd
500Sq.Yd
1,000Sq.Yd
","PKR2.5Lakh
PKR6Lakh
PKR10Lakh
PKR20Lakh
","https://images.zameen.com/w1600_h900/7/740/sindh_employee_housing_scheme_10875.jpg
https://images.zameen.com/w1600_h900/7/740/sindh_employee_housing_scheme_10876.jpg
",https://www.zameen.com/new-projects/sindh_employees_housing_scheme-740.html
18,609,Surjani Town,Houses,Karachi,Noman Builders,0,"2BedsHouses(Silver-80Sq.Yds)
2BedsHouses(Gold&amp;Platinum-120Sq.Yds)
3BedsHouses(Diamond-160Sq.Yds)
","80Sq.Yd
160Sq.Yd
0
0
0
","120Sq.Yd
0
0
0
",,https://www.zameen.com/new-projects/noman_royal_villas-609.html
19,604,Northern Bypass,PKR10.99 Lakh to 35.49 Lakh,Karachi,"Houses, Commercial Plots",Noman Builders,"2BedsHouses(Silver-80Sq.YdsVilla)
2BedsHouses(Gold-120Sq.YdsVilla)
3BedsHouses(Platinum-160Sq.YdsVilla)
3BedsHouses(Diamond-240Sq.YdsVilla)
CommercialPlots(Plots)
CommercialPlots(Plots)
","80Sq.Yd
120Sq.Yd
160Sq.Yd
240Sq.Yd
100Sq.Yd
200Sq.Yd
0
0
0
0
","PKR14.49Lakh
PKR20.99Lakh
PKR27.49Lakh
PKR35.49Lakh
PKR10.99Lakh
PKR21.99Lakh
0
0
0
0
","https://images.zameen.com/w1600_h900/7/604/noman_dream_villas_9187.jpg
",https://www.zameen.com/new-projects/noman_dream_villas-604.html
20,533,Gulshan-e-Usman Housing Society,PKR70  Lakh to 70  Lakh,Karachi,Houses,Osman Housing (Pvt.) Lt,"Houses(OneUnitBungalow)
","120Sq.Yd
","PKR70Lakh
",,https://www.zameen.com/new-projects/osman_bungalows-533.html
21,487,Saudaba,PKR11.4 Lakh to 45.45 Lakh,Karachi,"Houses, Residential Plots",Al Tameer Properties ,"2BedsHouses(SingleStorey-80Sq.Yds)
2BedsHouses(SingleStorey-120Sq.Yds)
3BedsHouses(OneUnit120Sq.YdsBungalow)
ResidentialPlots(Plots)
ResidentialPlots(Plots)
ResidentialPlots(Plots)
","80Sq.Yd
120Sq.Yd
120Sq.Yd
120Sq.Yd
200Sq.Yd
400Sq.Yd
0
0
","PKR25.45Lakh
PKR35.45Lakh
PKR45.45Lakh
PKR11.4Lakh
PKR19Lakh
PKR38Lakh
0
","https://images.zameen.com/w1600_h900/7/487/falaknaz_meadows_7876.yds Single Storey.jpg
https://images.zameen.com/w1600_h900/7/487/falaknaz_meadows_7877.Yds Single Storey.jpg
https://images.zameen.com/w1600_h900/7/487/falaknaz_meadows_7878.Yds.jpg
https://images.zameen.com/w1600_h900/7/487/falaknaz_meadows_7879.jpg
",https://www.zameen.com/new-projects/falaknaz_meadows-487.html
22,479,Shahra-e-Faisal,PKR30.08 Lakh to 54.4 Lakh,Karachi,Houses,Gohar Group of Companies,"Houses(Silver-80Sq.YdsSingleStoreyBungalow)
Houses(Platinum-120sq.YdsOneUnitBungalow)
Houses(Gold-120Sq.YdSingleStoreyBungalow)
","80Sq.Yd
120Sq.Yd
120Sq.Yd
","PKR30.08Lakh
PKR54.4Lakh
PKR42.24Lakh
","https://images.zameen.com/w1600_h900/7/479/kn_gohar_green_city_7520.jpg
https://images.zameen.com/w1600_h900/7/479/kn_gohar_green_city_7521.jpg
https://images.zameen.com/w1600_h900/7/479/kn_gohar_green_city_7522.jpg
",https://www.zameen.com/new-projects/kn_gohar_green_city-479.html
23,482,Surjani Town,PKR6.36 Lakh to 44.95 Lakh,Karachi,"Houses, Commercial Plots, Residential Plots",Metropolitan Builders and Developers,"2BedsHouses(SingleStorey-80Sq.Yds)
2BedsHouses(SingleStorey-120Sq.Yds)
4BedsHouses(OneUnit-120Sq.Yds)
CommercialPlots(Plots)
CommercialPlots(Plots)
CommercialPlots(Plots)
ResidentialPlots(Plots)
ResidentialPlots(Plots)
","3.2Marla
4.8Marla
4.8Marla
4Marla
8Marla
16Marla
3.2Marla
4.8Marla
0
0
","PKR12Lakh
PKR18Lakh
PKR24Lakh
PKR12.5Lakh
PKR21.95Lakh
PKR44.95Lakh
PKR6.36Lakh
PKR10.5Lakh
0
","https://images.zameen.com/w1600_h900/7/482/pearl_villas_7556.jpg
https://images.zameen.com/w1600_h900/7/482/pearl_villas_7557.jpg
https://images.zameen.com/w1600_h900/7/482/pearl_villas_7558.jpg
https://images.zameen.com/w1600_h900/7/482/pearl_villas_7559.jpg
https://images.zameen.com/w1600_h900/7/482/pearl_villas_7560.jpg
",https://www.zameen.com/new-projects/pearl_villas-482.html
