,ID,Location,Price Range,City,House Style,Owner,Plot Types,Plot Sizes,Plot Prices,Link to Payment Plan,Webpage
12,650,Atta Bakhsh Roa,Houses,Lahore,Konain Marketing,0,"3BedsHouses(TYpeA&amp;B)
","5Marla
0
","0
","https://images.zameen.com/w1600_h900/7/650/mas_residencia_13272.jpg
",https://www.zameen.com/new-projects/mas_residencia-650.html
13,889,Rehan Garden,PKR70  Lakh to 70  Lakh,Lahore,Houses,Dewan Developer,"Houses(5MarlaDoubleStoreyLuxuryHomes)
","5Marla
","PKR70Lakh
","https://images.zameen.com/w1600_h900/7/889/dewan_kashish_homes_12419.jpg
",https://www.zameen.com/new-projects/dewan_kashish_homes-889.html
14,423,Al Hafeez Gardens,PKR69  Lakh to 69  Lakh,Lahore,Houses,Construction Solutions,"Houses(FinishedHouses-CoveredArea1955Sq.Ft)
","5Marla
","PKR69Lakh
","https://images.zameen.com/w1600_h900/7/423/al_hafeez_homes_15061.jpg
",https://www.zameen.com/new-projects/al_hafeez_homes-423.html
15,201,Lahore,PKR45  Lakh to 8.5 Crore,Lahore,"Houses, Residential Plots, Commercial Plots",Royal Residencia,"Houses(House)
Houses(House)
Houses(House)
Houses(House)
ResidentialPlots(Plots)
ResidentialPlots(Plots)
ResidentialPlots(Plots)
ResidentialPlots(Plots)
ResidentialPlots(Plots)
ResidentialPlots(Plot)
CommercialPlots(Plot)
CommercialPlots(Plot)
CommercialPlots(Plot)
CommercialPlots(Plot)
CommercialPlots(Plot)
CommercialPlots(Plot)
","4Marla
6Marla
8Marla
12Marla
4Marla
6Marla
8Marla
12Marla
20Marla
40Marla
4Marla
6Marla
8Marla
10Marla
15Marla
17Marla
","PKR90Lakh
PKR1.25Crore
PKR1.5Crore
PKR1.9Crore
PKR45Lakh
PKR66Lakh
PKR80Lakh
PKR1.05Crore
PKR1.6Crore
PKR3.5Crore
PKR1.4Crore
PKR2.1Crore
PKR3.2Crore-3.6Crore
PKR4.5Crore
PKR7.5Crore
PKR8.5Crore
","https://images.zameen.com/w1600_h900/7/201/royal_residencia_23804.jfif
https://images.zameen.com/w1600_h900/7/201/royal_residencia_19422.jpg
",https://www.zameen.com/new-projects/royal_residencia-201.html
16,147,Lahore,PKR31  Lakh to 80  Lakh,Lahore,Houses,Renaissance Developers (Pvt.) Ltd.,"Houses(SingleStoreyHous-CoveredArea731Sq.Ft)
Houses(SingleStoreyHouse-CoveredArea1078Sq.Ft)
Houses(DoubleStoreyHouse-CoveredArea1400Sq.Ft)
Houses(DoubleStoreyHouse-CoveredArea1700Sq.Ft)
Houses(DoubleStoreyHouse-CoveredArea2534Sq.Ft)
","5Marla
5Marla
5Marla
7Marla
10Marla
","PKR31Lakh
PKR36Lakh
PKR43Lakh
PKR53Lakh
PKR80Lakh
","https://images.zameen.com/w1600_h900/7/147/lahore_motorway_city_13273.jpg
",https://www.zameen.com/new-projects/lahore_motorway_city-147.html
17,379,Lahore,PKR28.9 Lakh to 89.9 Lakh,Lahore,Houses,Woc Land Developers,"1BedsHouses(Singlestory)
3BedsHouses(Doublestory)
1BedsHouses(singlestorysmallsize)
2BedsHouses(singlestorylarge)
2BedsHouses(singlestorymediumsize)
3BedsHouses(Doublestory)
2BedsHouses(Secondfloor)
2BedsHouses(Groundfloor)
2BedsHouses(singlestoryapartmentdesign)
2BedsHouses(Firstfloor)
3BedsHouses(Doublestory)
2BedsHouses(singlestorylarge)
3BedsHouses(Doublestory)
","3Marla
3Marla
5Marla
5Marla
5Marla
5Marla
6Marla
6Marla
6Marla
6Marla
6Marla
8Marla
8Marla
0
0
0
0
0
0
0
0
0
0
0
0
","PKR33.9Lakh
PKR42.9Lakh
PKR46.9Lakh
PKR52.9Lakh
PKR49.9Lakh
PKR69.9Lakh
PKR28.9Lakh
PKR30.9Lakh
PKR62.9Lakh
PKR29.9Lakh
PKR75.9Lakh
PKR68.9Lakh
PKR89.9Lakh
0
0
0
0
0
0
0
0
0
0
0
",,https://www.zameen.com/new-projects/wocland_villas-379.html
18,200,Al Rahim Homes,PKR1.2 Crore to 2.5 Crore,Lahore,Houses,FQ &amp; Associates,"4BedsHouses(5Marla-(4Beds+4Attachedbaths,drawing,Lou)
4BedsHouses(6Marla-4Beds+4Attachedbaths,drawing,Lou)
5BedsHouses(9Marla,5B/r+5AttachedBath,FrontLawn)
5BedsHouses(11.5Marla,5B/r+5AttachedBath,2Porch,Double)
","5Marla
6Marla
9Marla
11.5Marla
0
0
0
0
","PKR1.2Crore
PKR1.3Crore
PKR2Crore
PKR2.5Crore
0
0
0
0
","https://images.zameen.com/w1600_h900/7/200/al_rahim_homes_6453.jpg
",https://www.zameen.com/new-projects/al_rahim_homes-200.html
19,356,State Life Phase 1 - Block A Extension,PKR95  Lakh to 95  Lakh,Lahore,Houses,kollaage Marketing,"3BedsHouses(LuxuryHomes)
","5Marla
0
","PKR95Lakh
","https://images.zameen.com/w1600_h900/7/356/heaven_homes_5969.jpg
https://images.zameen.com/w1600_h900/7/356/heaven_homes_5970.jpg
",https://www.zameen.com/new-projects/heaven_homes-356.html
20,229,Harbanspura,PKR37  Lakh to 1.5 Crore,Lahore,Houses,Dewan Developers,"3BedsHouses(CoverdAread1275SF-Lounge,CarPoarch,Kitchen)
4BedsHouses(D.D-BigCarPorch)
Houses(Homewithoutbasement)
Houses(Homewithbasement)
","3Marla
5Marla
11Marla
11Marla
0
0
","PKR37Lakh
PKR70Lakh
PKR1.35Crore
PKR1.5Crore
0
0
",,https://www.zameen.com/new-projects/dewan_villas-229.html
21,227,Tricon Village,PKR90  Lakh to 1.5 Crore,Lahore,Houses,Tricon Developers,"3BedsHouses(VillaCosta-CoveredArea2200)
3BedsHouses(VillaRosa-CoveredArea2600)
Houses(VillaGrande-CoveredArea3000)
","8Marla
10Marla
12Marla
0
","PKR90Lakh
PKR1.25Crore
PKR1.5Crore
0
",,https://www.zameen.com/new-projects/tricon_village-227.html
